Restaurant Name,Restaurant URL,Review Stars,Minneapolis,St. Paul,Restaurant Type,Chain or Local,Brunch/Breakfast,Lunch,Dinner,Cuisine Type
Bar La Grassa,https://www.barlagrassa.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Arezzo Ristorante,http://arezzoristorante.com/,4.5,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Broders' Pasta Bar,https://www.broderspastabar.com/,4.6,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Italian Eatery,https://www.italianeatery.com/,4.6,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Prima,http://primampls.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Carmelo's Ristorante,https://www.carmelos.com/,4.5,N,Y,Fancy Sit-Down,Local,N,N,Y,Italian
Hyacinth,https://www.hyacinthstpaul.com/,4.7,N,Y,Fancy Sit-Down,Local,N,N,Y,Italian
La Grolla,https://www.la-grolla.com/,4.4,N,Y,Fancy Sit-Down,Local,N,N,Y,Italian
Due Focacceria,https://www.duefocacceria.com/,4.6,N,Y,Casual Sit-Down,Local,N,Y,Y,Italian
Amore Uptown,https://www.amoreuptown.com/,4.3,Y,N,Casual Sit-Down,Local,Y,N,Y,Italian
Rinata,https://rinatarestaurant.com/,4.6,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Kado ne Mise,https://www.kadonomise.com/,4.6,Y,N,Fancy Sit-Down,Local,N,N,Y,Asian
Billy Sushi,https://billysushi.net/,4.5,Y,N,Fancy Sit-Down,Local,N,N,Y,Asian
Masu Sushi,https://www.masusushiandrobata.com/,4.5,Y,N,Casual Sit-Down,Local,N,Y,Y,Asian
Sanjusan,https://www.sanjusanrestaurant.com/,4.8,Y,N,Fancy Sit-Down,Local,N,N,Y,Asian
Pajarito,https://edina.pajaritorestaurant.com/,4.6,Y,Y,Casual Sit-Down,Local,N,Y,Y,Latin
Cobble Social House,https://cobblempls.com/,4.6,Y,N,Casual Sit-Down,Local,N,N,Y,Latin
Centro,https://centrompls.com/,4.5,Y,N,Casual Sit-Down,Local,N,Y,Y,Latin
Marna's Eatery,https://www.marnaseatery.com/,4.7,Y,N,Casual Sit-Down,Local,Y,N,Y,Latin
Jefe Urban Cocina,https://jefeminneapolis.com/,4.4,Y,N,Casual Sit-Down,Local,N,N,Y,Latin
Cafe Ena,http://www.cafeenampls.com/,4.6,Y,N,Fancy Sit-Down,Local,N,N,Y,Latin
Colita,https://www.colitampls.com/,4.8,Y,N,Fancy Sit-Down,Local,N,N,Y,Latin
El Asador,https://www.elasador612.com/,4.5,Y,N,Casual Sit-Down,Local,N,N,Y,Latin
Hola Arepa,https://www.holaarepa.com/,4.6,Y,N,Casual Sit-Down,Local,Y,Y,Y,Latin
Cocina Del Barrio,https://barriotequila.com/locations/edina/,4.4,Y,N,Casual Sit-Down,Local,N,Y,Y,Latin
El Travieso Taqueria,https://www.eltraviesotaqueria.com/,4.4,Y,N,Fast-Casual,Local,N,Y,Y,Latin
Taberna,https://www.tabernatacos.com/,4.1,Y,N,Casual Sit-Down,Local,N,Y,Y,Latin
Olive and Lamb,https://oliveandlamb.com/,4.6,Y,N,Casual Sit-Down,Local,N,Y,Y,Mediterranean
It's Greek to Me,https://itsgreektomempls.com/menu/,4.8,Y,N,Casual Sit-Down,Local,N,N,Y,Mediterranean
Pizzeria Lola,https://www.pizzerialola.com/,4.7,Y,N,Casual Sit-Down,Local,N,Y,Y,Italian
Rosalia,https://rosaliapizza.com/,4.3,Y,N,Casual Sit-Down,Local,N,Y,Y,Italian
Young Joni,https://www.youngjoni.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,Italian
Pig Ate My Pizza,https://www.pigatemypizza.com/,4.5,Y,N,Casual Sit-Down,Local,N,Y,Y,Italian
Tono Pizzeria + Cheesesteaks,https://tonomn.com/locations/saint-paul/,4.6,N,Y,Fast-Casual,Local,N,Y,Y,Italian
Grand Catch,https://www.grandcatchmn.com/,4.4,N,Y,Casual Sit-Down,Local,Y,Y,Y,American
Manny's Steakhouse,https://mannyssteakhouse.com/,4.7,Y,N,Fancy Sit-Down,Local,N,Y,Y,American
Murray's,https://murraysrestaurant.com/,4.7,Y,N,Fancy Sit-Down,Local,N,Y,Y,American
PS Steak,https://www.psmpls.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,American
Porterhouse,https://www.porterhousesteakandseafood.com/,4.6,Y,N,Fancy Sit-Down,Local,N,N,Y,American
Baldamar,https://www.baldamar.com/,4.8,Y,N,Fancy Sit-Down,Local,Y,Y,Y,American
Coconut Thai,https://www.coconutthaimn.com/,4.5,Y,Y,Casual Sit-Down,Local,N,Y,Y,Asian
Naviya's Thai,https://naviyas.com/,4.5,Y,N,Casual Sit-Down,Local,N,Y,Y,Asian
Pad Thai Restaurant,https://padthaisp.com/,4.3,N,Y,Casual Sit-Down,Local,N,Y,Y,Asian
Handsome Hog,https://handsomehog.com/,4.4,N,Y,Casual Sit-Down,Local,Y,Y,Y,American
Raag Progressive Indian,https://raagindiancuisine.com/,4.3,Y,N,Fancy Sit-Down,Local,N,N,Y,Asian
Lat14,https://www.lat14.com/,4.4,Y,N,Casual Sit-Down,Local,N,N,Y,Asian
Hai Hai,https://www.haihaimpls.com/,4.5,Y,N,Casual Sit-Down,Local,Y,N,Y,Asian
Vinai,https://www.vinaimn.com/,4.5,Y,N,Fancy Sit-Down,Local,N,N,Y,Asian
Que Viet,https://www.quevietmn.com/,4.7,Y,N,Casual Sit-Down,Local,N,Y,Y,Asian
Sooki and Mimi,https://www.sookiandmimi.com/,4.7,Y,N,Fancy Sit-Down,Local,N,N,Y,Asian
Bojae's Wine Bar,https://bojaes.com/,4.5,Y,N,Fancy Sit-Down,Local,N,N,Y,French
Hi-Lo Diner,http://www.hi-lo-diner.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Betty Danger's,https://www.bettydangers.com/,4.2,Y,N,Casual Sit-Down,Local,Y,Y,Y,American
Psycho Suzi's,https://www.psychosuzis.com/,4.2,Y,N,Casual Sit-Down,Local,N,Y,Y,American
Hen House,https://www.henhouseeatery.com/,4.5,Y,N,Casual Sit-Down,Local,Y,Y,N,American
Joan's in the Park,http://www.joansinthepark.com/,4.7,N,Y,Fancy Sit-Down,Local,N,N,Y,American
Smack Shack,https://smack-shack.com/,4.5,Y,N,Casual Sit-Down,Local,N,Y,Y,American
Salut Bar Americain,https://salutbaramericain.com/,4.3,Y,Y,Casual Sit-Down,Local,N,N,Y,French
Punch Pizza,https://punchpizza.com/menus/,4.5,Y,Y,Fast-Casual,Local,N,Y,Y,Italian
Panera,https://www.panerabread.com/en-us/home.html,4,Y,Y,Fast-Casual,Chain,Y,Y,Y,Health
Tinto Kitchen,https://tintokitchen.com/,4.3,N,Y,Casual Sit-Down,Local,N,Y,Y,Latin
Burger Moe's,https://www.burgermoes.com/,4.4,N,Y,Casual Sit-Down,Local,N,Y,Y,American
Blue Door Pub,https://www.thebdp.com/,4.5,Y,Y,Casual Sit-Down,Local,N,Y,Y,American
Cossetta's,https://cossettas.com/home/about-us/,4.6,N,Y,Fast-Casual,Local,N,Y,Y,Italian
PF Chang's,https://www.pfchangs.com/,4,Y,N,Casual Sit-Down,Chain,N,Y,Y,Asian
Buffalo Wild Wings,https://www.buffalowildwings.com/,3.5,Y,Y,Casual Sit-Down,Chain,N,Y,Y,American
Applebees,https://www.applebees.com/en,4,Y,Y,Casual Sit-Down,Chain,N,Y,Y,American
Chili's,https://www.chilis.com/,4,Y,Y,Casual Sit-Down,Chain,N,Y,Y,American
Outback Steakhouse,https://outback.com,4.2,Y,Y,Casual Sit-Down,Chain,N,Y,Y,American
Red Lobster,https://www.redlobster.com/,4.2,Y,Y,Casual Sit-Down,Chain,N,Y,Y,American
TGI Friday's,https://www.tgifridays.com/,4,Y,Y,Casual Sit-Down,Chain,N,Y,Y,American
Ocenaire Seafood Room,https://www.theoceanaire.com/,4.5,Y,N,Fancy Sit-Down,Chain,N,Y,Y,American
Wing Stop,https://www.wingstop.com/,4,Y,Y,Fast-Casual,Chain,N,Y,Y,American
Red Cow,https://redcowmn.com/,4.6,Y,Y,Casual Sit-Down,Local,Y,Y,Y,American
Tongue in Cheek,https://www.tongueincheek.biz/index.html,4.7,N,Y,Casual Sit-Down,Local,N,Y,Y,American
